0 0 254
0 1 254
0 2 254
0 3 254
0 4 254
0 5 254
0 6 254
0 7 254
0 8 259
0 9 259
0 10 254
0 11 254
0 12 254
0 13 257
0 14 254
0 15 254

1 0 254
1 1 254
1 2 254
1 3 254
1 4 254
1 5 254
1 6 254
1 7 254
1 8 259
1 9 258
1 10 258
1 11 259
1 12 259
1 13 254
1 14 254
1 15 254

2 0 254
2 1 254
2 2 254
2 3 254
2 4 254
2 5 254
2 6 254
2 7 254
2 8 254
2 9 258
2 10 258
2 11 258
2 12 259
2 13 254
2 14 254
2 15 254

3 0 254
3 1 254
3 2 254
3 3 254
3 4 254
3 5 254
3 6 254
3 7 254
3 8 254
3 9 258
3 10 258
3 11 258
3 12 258
3 13 254
3 14 254
3 15 254

4 0 254
4 1 254
4 2 254
4 3 254
4 4 254
4 5 254
4 6 254
4 7 259
4 8 259
4 9 259
4 10 258
4 11 257
4 12 257
4 13 258
4 14 254
4 15 254

5 0 254
5 1 255
5 2 254
5 3 254
5 4 254
5 5 254
5 6 254
5 7 259
5 8 259
5 9 258
5 10 258
5 11 257
5 12 257
5 13 257
5 14 254
5 15 254

6 0 254
6 1 254
6 2 254
6 3 254
6 4 254
6 5 254
6 6 259
6 7 259
6 8 259
6 9 258
6 10 257
6 11 257
6 12 256
6 13 254
6 14 254
6 15 254

7 0 257
7 1 258
7 2 254
7 3 254
7 4 254
7 5 254
7 6 259
7 7 259
7 8 259
7 9 258
7 10 257
7 11 257
7 12 256
7 13 256
7 14 254
7 15 254

8 0 254
8 1 254
8 2 254
8 3 254
8 4 254
8 5 259
8 6 254
8 7 259
8 8 259
8 9 258
8 10 257
8 11 256
8 12 256
8 13 254
8 14 254
8 15 256

9 0 254
9 1 257
9 2 254
9 3 254
9 4 254
9 5 254
9 6 254
9 7 259
9 8 259
9 9 258
9 10 257
9 11 256
9 12 256
9 13 256
9 14 254
9 15 254

10 0 254
10 1 254
10 2 259
10 3 254
10 4 254
10 5 254
10 6 254
10 7 254
10 8 259
10 9 258
10 10 257
10 11 256
10 12 256
10 13 256
10 14 257
10 15 254

11 0 254
11 1 254
11 2 254
11 3 254
11 4 254
11 5 254
11 6 254
11 7 254
11 8 259
11 9 258
11 10 258
11 11 257
11 12 257
11 13 254
11 14 254
11 15 254

12 0 254
12 1 259
12 2 254
12 3 254
12 4 254
12 5 254
12 6 254
12 7 254
12 8 259
12 9 258
12 10 258
12 11 257
12 12 254
12 13 254
12 14 254
12 15 254

13 0 254
13 1 254
13 2 254
13 3 254
13 4 254
13 5 254
13 6 254
13 7 254
13 8 254
13 9 259
13 10 258
13 11 254
13 12 254
13 13 254
13 14 254
13 15 254

14 0 254
14 1 254
14 2 254
14 3 254
14 4 254
14 5 254
14 6 254
14 7 254
14 8 259
14 9 254
14 10 259
14 11 254
14 12 254
14 13 254
14 14 254
14 15 254

15 0 254
15 1 254
15 2 254
15 3 254
15 4 254
15 5 259
15 6 259
15 7 254
15 8 259
15 9 254
15 10 254
15 11 254
15 12 254
15 13 254
15 14 254
15 15 254

